name,state,category,rating,,,,,,,,,,Weighted_Average
Le Corbusier Centre,Chandigarh,History museum,4.4,,,,,,,,,,4.41
Open Hand Monument,Chandigarh,Monument,4.5,,,,,,,,,,4.41
Hibiscus Garden,Chandigarh,Garden,4.4,,,,,,,,,,4.37
"Rag Doll museum, Rock garden",Chandigarh,Museum,4.5,,,,,,,,,,4.41
Tank Monument,Chandigarh,Monument,4.3,,,,,,,,,,4.41
Srikrishna Museum,Haryana,Museum,4.5,,,,,,,,,,4.44
Khwaja Khizr Tomb,Haryana,Historical landmark,4.2,,,,,,,,,,4.44
Bhindawas Bird Sanctuary - RAMSAR Wetland,Haryana,National park,4.3,,,,,,,,,,4.27
"Gurudwara 10th Paatshahi Sri Nada Sahib, Panchkula",Haryana,Gurudwara,4.9,,,,,,,,,,4.82
"Yadavindra Gardens, Pinjore",Haryana,Garden,4.3,,,,,,,,,,4.27
Tau Devilal Town Park Faridabad (Haryana),Haryana,Park,4.3,,,,,,,,,,4.27
Mansarovar Park,Delhi,Park,4.4,,,,,,,,,,4.29
Sultanpur National Park,Haryana,National park,4.2,,,,,,,,,,4.27
Tau Devi Lal Park,Haryana,Park,4.3,,,,,,,,,,4.27
Barsi Gate,Haryana,Historical landmark,4.4,,,,,,,,,,4.44
O P Jindal Gyan Kendra,Haryana,Museum,4.4,,,,,,,,,,4.44
City Park,Haryana,Park,4.1,,,,,,,,,,4.27
Sardar Patel Park,Haryana,Park,4.1,,,,,,,,,,4.27
Panchwati Mandir,Haryana,Hindu temple,4.7,,,,,,,,,,4.82
Tosham Lake,Haryana,Park,4.3,,,,,,,,,,4.27
Karna Lake Karnal,Haryana,Park,4.3,,,,,,,,,,4.27
Kala Amb Park,Haryana,Park,4.2,,,,,,,,,,4.27
Harsh Ka Tila,Haryana,Historical landmark,4.4,,,,,,,,,,4.44
Bhondsi Nature Park,Haryana,Park,4.6,,,,,,,,,,4.27
Deer Park,Haryana,Park,4.2,,,,,,,,,,4.27
City Palace,Rajasthan,Castle,4.5,,,,,,,,,,4.51
Wax Museum Udaipur,Rajasthan,Wax museum,4.7,,,,,,,,,,4.51
Sajjangarh Monsoon Palace,Rajasthan,Castle,4.4,,,,,,,,,,4.51
Saheliyon ki bari,Rajasthan,Garden,4.4,,,,,,,,,,4.38
Jagmandir,Rajasthan,Castle,4.4,,,,,,,,,,4.51
Sukhadia Circle Statue,Rajasthan,Park,4.4,,,,,,,,,,4.38
"Karni Mata Temple, Udaipur",Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Navlakha Mahal (Satyarth Prakash Nyas),Rajasthan,Historical place museum,4.9,,,,,,,,,,4.51
Ahar Museum,Rajasthan,Archaeological museum,4.3,,,,,,,,,,4.51
Manik Lal Verma Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Pandit Deendayal Upadhyay Park,Rajasthan,Park,4.3,,,,,,,,,,4.38
Udaipur Solar Observatory,Rajasthan,Observatory,4.4,,,,,,,,,,4.38
Jagdish Temple,Rajasthan,Hindu temple,4.7,,,,,,,,,,4.67
Gangour Ghat,Rajasthan,Historical landmark,4.5,,,,,,,,,,4.51
Rajiv Gandhi Garden,Rajasthan,Park,4.2,,,,,,,,,,4.38
Bagore Ki Haveli,Rajasthan,Museum,4.5,,,,,,,,,,4.51
Mahakaleshwar Temple,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Ghantaghar,Rajasthan,Historical landmark,4.3,,,,,,,,,,4.51
Sajjangarh Wildlife Sanctuary,Rajasthan,Wildlife refuge,4.3,,,,,,,,,,4.38
Nehru Garden,Rajasthan,Park,4.1,,,,,,,,,,4.38
Pratap Park,Rajasthan,Ecological park,4.1,,,,,,,,,,4.38
Sunset Point Park Udaipur,Rajasthan,Garden,4.6,,,,,,,,,,4.38
"Amrakh Ji Mahadev Temple Amberi, Udaipur",Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Guru Gobind Singh Park,Rajasthan,Park,4.4,,,,,,,,,,4.38
Shree Mahalaxmi Mandir Udaipur,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Sita Mata Mandir,Rajasthan,Hindu temple,4.2,,,,,,,,,,4.67
Nature Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Lake Garden,Rajasthan,Park,4.4,,,,,,,,,,4.38
Corbyn's Cove Beach,Andaman and Nicobar Islands,Public beach,4.2,,,,,,,,,,4.27
Marina Park,Andaman and Nicobar Islands,Park,4.4,,,,,,,,,,4.27
Naval Marine Museum Samudrika,Andaman and Nicobar Islands,Museum,4.3,,,,,,,,,,4.29
Gandhi Park,Andaman and Nicobar Islands,Park,4.1,,,,,,,,,,4.27
Mount Manipur National Park,Manipur,National park,4.5,,,,,,,,,,4.5
Mahatma Gandhi Marine National Park,Andaman and Nicobar Islands,National park,4.5,,,,,,,,,,4.27
Forest Museum,Andaman and Nicobar Islands,Museum,4.2,,,,,,,,,,4.29
"Sri Vetrimalai Murugan Temple, rii verrrrimlai muruknnn tirukkoovil",Andaman and Nicobar Islands,Hindu temple,4.6,,,,,,,,,,4.6
Veer Savarkar Park,Andaman and Nicobar Islands,Park,4.5,,,,,,,,,,4.27
View Point for North Bay,Andaman and Nicobar Islands,Scenic spot,4.7,,,,,,,,,,4.27
Taj Mahal,Uttar Pradesh,Monument,4.6,,,,,,,,,,4.5
Agra Fort,Uttar Pradesh,Fortress,4.5,,,,,,,,,,4.5
Gurudwara Guru Ka Taal,Delhi,Gurudwara,4.7,,,,,,,,,,4.69
Tomb of Akbar,Uttar Pradesh,Historical landmark,4.4,,,,,,,,,,4.5
Sikandra Fort,Uttar Pradesh,Historical landmark,4.4,,,,,,,,,,4.5
Taj Nature Walk,Uttar Pradesh,Park,4.3,,,,,,,,,,4.29
Amar Singh Gate,Uttar Pradesh,Historical landmark,4.5,,,,,,,,,,4.5
Taj Museum,Uttar Pradesh,Museum,4.4,,,,,,,,,,4.5
Diwan-I-Am,Uttar Pradesh,Historical landmark,4.6,,,,,,,,,,4.5
The Red Taj,Uttar Pradesh,Historical landmark,4.2,,,,,,,,,,4.5
Shah Jahani Mahal,Uttar Pradesh,Historical place museum,4.6,,,,,,,,,,4.5
Hadimba Devi Temple,Himachal Pradesh,Hindu temple,4.6,,,,,,,,,,4.59
Shri Anjani Mahadev Mandir,Himachal Pradesh,Hindu temple,4.7,,,,,,,,,,4.59
Bhrigu Lake Trek,Himachal Pradesh,Hiking area,4.8,,,,,,,,,,4.49
Shri Vashishtha Temple,Himachal Pradesh,Hindu temple,4.5,,,,,,,,,,4.59
Solang Valley,Himachal Pradesh,Nature preserve,4.6,,,,,,,,,,4.49
Van Vihar National Park,Himachal Pradesh,Park,4.2,,,,,,,,,,4.49
"Manu Temple, Old Manali",Himachal Pradesh,Hindu temple,4.5,,,,,,,,,,4.59
Museum of Himachal Culture & Folk Art,Himachal Pradesh,Museum,4.1,,,,,,,,,,4.55
Ghatotkach Tree Temple,Himachal Pradesh,Hindu temple,4.5,,,,,,,,,,4.59
Whiteland holidays,Himachal Pradesh,Hindu temple,4.6,,,,,,,,,,4.59
Snow Man Point,Himachal Pradesh,Scenic spot,4.4,,,,,,,,,,4.49
Gauri Shankar Temple,Himachal Pradesh,Hindu temple,4.6,,,,,,,,,,4.59
Manali Nature Park,Himachal Pradesh,Park,4.7,,,,,,,,,,4.49
Hadimba Himachal Park,Himachal Pradesh,National forest,4.6,,,,,,,,,,4.49
Mahabodhi Temple,Bihar,Buddhist temple,4.7,,,,,,,,,,4.65
The Great Buddha Statue,Bihar,Buddhist temple,4.6,,,,,,,,,,4.65
Bodhgaya Bodhi Tree,Bihar,Buddhist temple,4.7,,,,,,,,,,4.65
Watthai Buddhagaya Temple,Bihar,Buddhist temple,4.6,,,,,,,,,,4.65
Wat Thai Magadh,Bihar,Buddhist temple,4.4,,,,,,,,,,4.65
Gayajipurohit,Bihar,Hindu temple,4.4,,,,,,,,,,4.65
Dungeshwari,Bihar,Buddhist temple,4.5,,,,,,,,,,4.65
The Royal Bhutanese Monastery,Bihar,Buddhist temple,4.6,,,,,,,,,,4.65
Archaeological Museum Bodhgaya,Bihar,Archaeological museum,4.2,,,,,,,,,,4.19
Tergar Monastery,Bihar,Buddhist temple,4.6,,,,,,,,,,4.65
Daijokyo Buddhist Temple,Bihar,Buddhist temple,4.4,,,,,,,,,,4.65
Karma Temple,Bihar,Buddhist temple,4.6,,,,,,,,,,4.65
Indosan Nipponji,Bihar,Buddhist temple,4.5,,,,,,,,,,4.65
Tibetan Temple gaden phelgayling namgyal datsang,Bihar,Buddhist temple,4.4,,,,,,,,,,4.65
Palyul Namdroling Temple,Bihar,Buddhist temple,4.8,,,,,,,,,,4.65
"Maa Mansa Devi Mandir, Haridwar",Uttarakhand,Hindu temple,4.6,,,,,,,,,,4.64
Ganga Ghat,Uttarakhand,Religious destination,4.5,,,,,,,,,,4.64
Bhuma Niketan,Uttarakhand,Hindu temple,4.4,,,,,,,,,,4.64
"Shri Maa Chandi Devi Temple, Haridwar",Uttarakhand,Hindu temple,4.7,,,,,,,,,,4.64
"Bharat Mata Temple, Haridwar",Uttarakhand,Hindu temple,4.5,,,,,,,,,,4.64
"Saptrishi Ashram, Haridwar",Uttarakhand,Hindu temple,4.5,,,,,,,,,,4.64
Maya Devi Temple,Uttarakhand,Hindu temple,4.6,,,,,,,,,,4.64
"Amrapur Ghat, Haridwar",Uttarakhand,Religious destination,4.7,,,,,,,,,,4.64
Vaishno Devi,Uttarakhand,Hindu temple,4.4,,,,,,,,,,4.64
Ganga Mata Temple,Uttarakhand,Hindu temple,4.7,,,,,,,,,,4.64
Mangal Dham Temple,West Bengal,Hindu temple,4.5,,,,,,,,,,4.55
Delo Park,West Bengal,Park,4.5,,,,,,,,,,4.43
Durpin Monastery,West Bengal,Buddhist temple,4.5,,,,,,,,,,4.55
Geden Tharpa Choling Monastery,West Bengal,Buddhist temple,4.7,,,,,,,,,,4.55
Lepcha Museum,West Bengal,Museum,4.4,,,,,,,,,,4.54
Sunset cafe lonavala Khandala rajmachi point 0702,Maharashtra,Scenic spot,4.4,,,,,,,,,,4.35
Jog Falls View Point,Karnataka,Scenic spot,4.5,,,,,,,,,,4.43
Energy Park(Urja park),Chhattisgarh,Garden,4.2,,,,,,,,,,4.21
Mahant Ghasidas Memorial Museum,Chhattisgarh,Museum,4.4,,,,,,,,,,4.33
ISKCON Raipur,Chhattisgarh,Hindu temple,4.5,,,,,,,,,,4.49
Purkhouti Muktangan,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
Katora Talab Park,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
Maa Banjari Mandir,Chhattisgarh,Hindu temple,4.4,,,,,,,,,,4.49
Banjari Mata Mandir,Chhattisgarh,Hindu temple,4.4,,,,,,,,,,4.49
Mahaveer Udyan,Chhattisgarh,Park,4.1,,,,,,,,,,4.21
Atal Park,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
"Lal Qila, The Red Fort",Chhattisgarh,Historical landmark,4.4,,,,,,,,,,4.33
New Swami Vivekananda Gardens (New Buddha Garden),Chhattisgarh,Park,4.3,,,,,,,,,,4.21
Swagat Vatika Naya Raipur,Chhattisgarh,Park,4.2,,,,,,,,,,4.21
Shree Hatkeshwar Mahadev Raipur,Chhattisgarh,Hindu temple,4.4,,,,,,,,,,4.49
National Flag- Telibandha Talab Raipur,Chhattisgarh,Park,4.5,,,,,,,,,,4.21
Ekatma Path park,Chhattisgarh,Park,4.4,,,,,,,,,,4.21
Shree shree shree Sholapuri Mata mandir,Chhattisgarh,Hindu temple,4.7,,,,,,,,,,4.49
CommonWealth World War II Cemetry,Nagaland,Historical landmark,4.3,,,,,,,,,,4.3
Kohima Cathedral Church,Nagaland,Catholic cathedral,4.5,,,,,,,,,,4.5
Dzuleke,Nagaland,Park,4.5,,,,,,,,,,4.38
Kuozhu View Point,Nagaland,Vista point,4.1,,,,,,,,,,4.38
Dzukou Point,Nagaland,Vista point,4.3,,,,,,,,,,4.38
Kapamodzu Peak,Nagaland,Hiking area,4.6,,,,,,,,,,4.38
Immaculate Conception Church,Goa,Catholic church,4.4,,,,,,,,,,4.54
Public Astronomical Observatory Goa,Goa,Observatory,4.5,,,,,,,,,,4.44
Aguada Fort,Goa,Fortress,4.2,,,,,,,,,,4.25
St. Augustine Tower,Goa,Historical landmark,4.5,,,,,,,,,,4.25
Campal Gardens,Goa,Garden,4.2,,,,,,,,,,4.44
Azad Maidan,Goa,Historical landmark,4.2,,,,,,,,,,4.25
St. Inez Church,Goa,Catholic church,4.4,,,,,,,,,,4.54
Malson Shoes,Goa,Garden,4.1,,,,,,,,,,4.44
Jama Masjid,Goa,Mosque,4.6,,,,,,,,,,4.54
Bhagwan Mahaveer Children's Park,Goa,Park,4.4,,,,,,,,,,4.44
Shree Shankar Temple,Goa,Hindu temple,4.5,,,,,,,,,,4.54
Bhagwan Mahavir Bal Vihar,Goa,Park,4.4,,,,,,,,,,4.44
Statue of Lord Parashuram,Goa,Historical landmark,4.7,,,,,,,,,,4.25
Panjim Municipal Garden,Goa,Garden,4.4,,,,,,,,,,4.44
SPS Museum,Jammu and Kashmir,Museum,4.3,,,,,,,,,,4.5
Shalimar Bagh Mughal Garden,Jammu and Kashmir,Garden,4.4,,,,,,,,,,4.41
Tulip Garden Srinagar,Jammu and Kashmir,Garden,4.5,,,,,,,,,,4.41
Cheshma Shahi Garden,Jammu and Kashmir,Garden,4.4,,,,,,,,,,4.41
Sri Shankaracharya Temple,Jammu and Kashmir,Hindu temple,4.8,,,,,,,,,,4.68
Jamia Masjid Srinagar,Jammu and Kashmir,Mosque,4.6,,,,,,,,,,4.68
Harwan Garden,Jammu and Kashmir,Garden,4.3,,,,,,,,,,4.41
Zabarwan Park zbrwn prkh,Jammu and Kashmir,Park,4.1,,,,,,,,,,4.41
Shah E Hamdan R.H Mosque,Jammu and Kashmir,Mosque,4.8,,,,,,,,,,4.68
Char Chinar Dal lake,Jammu and Kashmir,Park,4.5,,,,,,,,,,4.41
Sangeen darwaza,Jammu and Kashmir,Historical landmark,4.3,,,,,,,,,,4.5
Pathar Masjid Srinagar pthr msjd sry ngr,Jammu and Kashmir,Mosque,4.5,,,,,,,,,,4.68
Ali Park `ly prkh,Jammu and Kashmir,Park,4.1,,,,,,,,,,4.41
Jehlum View Park jhlm nZrh prkh,Jammu and Kashmir,Park,4.1,,,,,,,,,,4.41
Ali Masjid msjd shryf,Jammu and Kashmir,Mosque,4.6,,,,,,,,,,4.68
Ellora Caves,Maharashtra,Historical landmark,4.7,,,,,,,,,,4.49
Ajanta Ellora Cave 27,Maharashtra,Archaeological site,4.8,,,,,,,,,,4.49
Raja's Seat View point,Karnataka,Scenic spot,4.4,,,,,,,,,,4.43
Kattalekadu Viewpoint,Karnataka,Nature preserve,4.5,,,,,,,,,,4.43
Elephants' Statue,Karnataka,Historical landmark,4.2,,,,,,,,,,4.41
Raja's seat park,Karnataka,Park,4.5,,,,,,,,,,4.43
Karwale Bhagavathi Temple,Karnataka,Hindu temple,4.5,,,,,,,,,,4.62
Soni Ji Ki Nasiya Jain Temple,Rajasthan,Jain temple,4.5,,,,,,,,,,4.67
Shree Ram Baradari,Rajasthan,Monument,4.3,,,,,,,,,,4.51
Maharana Pratap Smarak - Ajmer,Rajasthan,Historical landmark,4.5,,,,,,,,,,4.51
Taragarh Fort - Ajmer,Rajasthan,Historical landmark,4.3,,,,,,,,,,4.51
Ajmer Fort,Rajasthan,Museum,4.3,,,,,,,,,,4.51
New Choupati Anasagar Pathway,Rajasthan,Park,4.5,,,,,,,,,,4.38
Rangji Temple,Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Government Museum,Rajasthan,Museum,4.4,,,,,,,,,,4.51
Kothari's Patwon Ki Haveli / Patwa Haveli,Rajasthan,Heritage museum,4.3,,,,,,,,,,4.51
The Thar Heritage Museum,Rajasthan,Museum,4.6,,,,,,,,,,4.51
Jaisalmer Fort,Rajasthan,Historical landmark,4.4,,,,,,,,,,4.51
Jaisalmer War Museum,Rajasthan,Museum,4.7,,,,,,,,,,4.51
Government Museum,Rajasthan,Museum,4.1,,,,,,,,,,4.51
Baa ri haveli,Rajasthan,Museum,4.3,,,,,,,,,,4.51
"SACRED HEART Cathedral, Shivamogga",Karnataka,Catholic cathedral,4.5,,,,,,,,,,4.62
"Shree Baala Subramanya Swamy Temple, Guddekal.",Karnataka,Hindu temple,4.6,,,,,,,,,,4.62
Shivamogga Zoo & Safari,Karnataka,Wildlife and safari park,4.1,,,,,,,,,,4.43
Sri Murudeshwar Temple,Karnataka,Hindu temple,4.4,,,,,,,,,,4.62
Gandhi Nagar Park,Karnataka,Park,4.1,,,,,,,,,,4.43
Freedom Park Old Shimoga Jail,Karnataka,Park,4.4,,,,,,,,,,4.43
Shivappa Nayaka Palace Museum,Karnataka,Museum,4.3,,,,,,,,,,4.41
Ravindranagara Park,Karnataka,Park,4.1,,,,,,,,,,4.43
Lord Shiva Temple,Karnataka,Hindu temple,4.7,,,,,,,,,,4.62
Bhimeshwara temple,Karnataka,Hindu temple,4.7,,,,,,,,,,4.62
Kalisthan Temple,Himachal Pradesh,Hindu temple,4.6,,,,,,,,,,4.59
Rani Tal,Himachal Pradesh,Lake,4.2,,,,,,,,,,4.49
Sri Harmandir Sahib,Punjab,Gurudwara,4.9,,,,,,,,,,4.9
"The Partition Museum - Amritsar District, Punjab, India",Punjab,Historical place museum,4.6,,,,,,,,,,4.51
Gobindgarh Fort,Punjab,Fortress,4.3,,,,,,,,,,4.51
"Shri Durgiana Temple, Amritsar",Goa,Hindu temple,4.7,,,,,,,,,,4.54
Gurudwara Chheharta Sahib,Punjab,Gurudwara,4.9,,,,,,,,,,4.9
Iskcon Temple,Punjab,Hindu temple,4.6,,,,,,,,,,4.9
Shri Dukh Bhanjani Beri Sahib,Punjab,Gurudwara,4.8,,,,,,,,,,4.9
Central Sikh Museum,Punjab,Heritage museum,4.7,,,,,,,,,,4.51
"Saragarhi Memorial Gurudwara - Amritsar, Punjab, India",Punjab,Gurudwara,4.7,,,,,,,,,,4.9
Gurudwara Sri Amb Sahib,Punjab,Gurudwara,4.8,,,,,,,,,,4.9
Leisure Valley,Chandigarh,Park,4.4,,,,,,,,,,4.37
Sukhna Wildlife Sanctuary,Chandigarh,Nature preserve,4.4,,,,,,,,,,4.37
Topiary Park,Chandigarh,Park,4.2,,,,,,,,,,4.37
Japanese Garden,Chandigarh,Park,4.2,,,,,,,,,,4.37
Garden of Silence,Chandigarh,Garden,4.5,,,,,,,,,,4.37
Rose Garden,Punjab,Park,4.4,,,,,,,,,,4.36
Silvi Park,Punjab,Park,4.4,,,,,,,,,,4.36
Bougainvillea Park,Chandigarh,Park,4.4,,,,,,,,,,4.37
Butterfly Park,Chandigarh,Park,4.1,,,,,,,,,,4.37
Leisure Valley Park Mohali,Punjab,Park,4.5,,,,,,,,,,4.36
Eiffel Tower Replica,Chandigarh,Garden,4.1,,,,,,,,,,4.37
Hibiscus Garden,Chandigarh,Garden,4.4,,,,,,,,,,4.37
Mandir Park,Punjab,Park,4.6,,,,,,,,,,4.36
park sec 80,Punjab,Park,4.2,,,,,,,,,,4.36
Freedom Fighters Park,Punjab,Park,4.1,,,,,,,,,,4.36
Tank Monument,Chandigarh,Monument,4.3,,,,,,,,,,4.41
Shri Kamakshi Temple,Goa,Hindu temple,4.8,,,,,,,,,,4.54
Our Lady of Grace Church,Goa,Catholic church,4.5,,,,,,,,,,4.54
Palacio do Deao,Goa,Heritage building,4.6,,,,,,,,,,4.25
St. Sebastian Church,Goa,Church,4.4,,,,,,,,,,4.54
Big Foot Goa,Goa,Museum,4.1,,,,,,,,,,4.25
Shree Damodar Temple,Goa,Hindu temple,4.6,,,,,,,,,,4.54
SGPDA Joggers Park,Goa,Park,4.1,,,,,,,,,,4.44
Shri Damodar Sal,Goa,Hindu temple,4.7,,,,,,,,,,4.54
Rachol Historical Fort Gate,Goa,Fortress,4.4,,,,,,,,,,4.25
Amber Palace,Rajasthan,Castle,4.6,,,,,,,,,,4.51
Hawa Mahal,Rajasthan,Castle,4.5,,,,,,,,,,4.51
Nahargarh Fort,Rajasthan,Historical landmark,4.5,,,,,,,,,,4.51
Albert Hall Museum,Rajasthan,Museum,4.5,,,,,,,,,,4.51
Moti Dungri Ganesh Ji Temple,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Jal Mahal,Rajasthan,Historical landmark,4.2,,,,,,,,,,4.51
Jaigarh Fort,Rajasthan,Historical place museum,4.5,,,,,,,,,,4.51
Sisodia Rani ka Bagh,Rajasthan,Garden,4.3,,,,,,,,,,4.38
Jaipur Wax Museum Nahargarh Fort,Rajasthan,Museum,4.4,,,,,,,,,,4.51
SHRI GARH GANESH Ji TEMPLE,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Sun Temple,Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Dolls Museum,Rajasthan,Museum,4.3,,,,,,,,,,4.51
Galta Gate,Rajasthan,Hindu temple,4.3,,,,,,,,,,4.67
Amrapali Museum,Rajasthan,Art museum,4.4,,,,,,,,,,4.51
Maharaja Sawai Man Singh II Museum,Rajasthan,Museum,4.5,,,,,,,,,,4.51
Arjuna Statue,Rajasthan,Monument,4.7,,,,,,,,,,4.51
Jantar Mantar - Jaipur,Rajasthan,Observatory,4.5,,,,,,,,,,4.38
Jai Niwas Garden,Rajasthan,Garden,4.4,,,,,,,,,,4.38
Shree Akshardham Temple,Rajasthan,Hindu temple,4.7,,,,,,,,,,4.67
Smriti Van,Rajasthan,Wildlife park,4.4,,,,,,,,,,4.38
Jaldhara,Rajasthan,Park,4.1,,,,,,,,,,4.38
Tripolia Gate,Rajasthan,Historical landmark,4.4,,,,,,,,,,4.51
Isarlat Sargasooli,Rajasthan,Monument,4.5,,,,,,,,,,4.51
Ramniwas Bagh,Rajasthan,Park,4.4,,,,,,,,,,4.38
Kanak Vrindavan Park,Rajasthan,Park,4.2,,,,,,,,,,4.38
Deer Park,Rajasthan,Park,4.4,,,,,,,,,,4.38
Vidyadhar Bagh,Rajasthan,Park,4.3,,,,,,,,,,4.38
Moti Doongri Fort,Rajasthan,Fortress,4.6,,,,,,,,,,4.51
Jaipur Park,Rajasthan,Park,4.4,,,,,,,,,,4.38
Amer Stepwell,Rajasthan,Historical landmark,4.4,,,,,,,,,,4.51
Shri Jagat Shiromani ji Temple,Rajasthan,Hindu temple,4.8,,,,,,,,,,4.67
Amber fort,Rajasthan,Historical landmark,4.6,,,,,,,,,,4.51
Amber Fort View,Rajasthan,Historical landmark,4.7,,,,,,,,,,4.51
Sawai Man Singh Statue,Rajasthan,Historical landmark,4.7,,,,,,,,,,4.51
Chandra Mahal,Rajasthan,Historical landmark,4.4,,,,,,,,,,4.51
Watch Tower,Rajasthan,Historical landmark,4.7,,,,,,,,,,4.51
Gau Ghat,Rajasthan,Hindu temple,4.5,,,,,,,,,,4.67
"Jagatpita Shri Brahma Mandir, Pushkar",Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Savitri Mata Temple,Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
Rangji Temple,Rajasthan,Hindu temple,4.6,,,,,,,,,,4.67
